memberID,HHID,villageID,unionID,upazilaID,districtID,relationship_hh_head,sex,bl_age_reported,marital_status,highest_class_passed,still_in_school,employment_status,randomization_sample
1812033000105,18120330001,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033000704,18120330007,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812033000805,18120330008,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Nine,Yes,Unemployed,Yes
1812033001106,18120330011,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033001303,18120330013,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Seven,No,Unemployed,Yes
1812033001503,18120330015,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033001605,18120330016,1812033,1812,18,9,Son/Daughter,Female,15,Never married,Class Five,No,Unemployed,Yes
1812033002307,18120330023,1812033,1812,18,9,Spouse of Son/Daughter,Female,15,Currently married,No Class Passed,No,Unemployed,Yes
1812033002503,18120330025,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Eight,Yes,Unemployed,Yes
1812033002803,18120330028,1812033,1812,18,9,Son/Daughter,Female,15,Never married,Class Four,No,Full-time employment - outside the home,Yes
1812033003203,18120330032,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033003707,18120330037,1812033,1812,18,9,Spouse of Son/Daughter,Female,16,Currently married,Class Six,No,Unemployed,Yes
1812033003805,18120330038,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Three,No,Unemployed,Yes
1812033004504,18120330045,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812033005005,18120330050,1812033,1812,18,9,Son/Daughter,Female,17,Never married,HSC/First year,Yes,Unemployed,Yes
1812033005203,18120330052,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033005306,18120330053,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033005604,18120330056,1812033,1812,18,9,Son/Daughter,Female,17,Never married,HSC/First year,Yes,Unemployed,Yes
1812033007206,18120330072,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033007504,18120330075,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812033007709,18120330077,1812033,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Six,No,Unemployed,Yes
1812033007805,18120330078,1812033,1812,18,9,Son/Daughter,Female,16,Never married,No Class Passed,No,Unemployed,Yes
1812033009803,18120330098,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033009905,18120330099,1812033,1812,18,9,Grandchild,Female,17,Never married,Class Eight,No,Unemployed,Yes
1812033010009,18120330100,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Nine,Yes,Unemployed,Yes
1812033010507,18120330105,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Five,No,Unemployed,Yes
1812033010706,18120330107,1812033,1812,18,9,Other relative,Female,17,Currently married,Class Four,No,Unemployed,Yes
1812033011110,18120330111,1812033,1812,18,9,Servant,Female,17,Never married,No Class Passed,No,Home-based employment,Yes
1812033011302,18120330113,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033012604,18120330126,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033013505,18120330135,1812033,1812,18,9,Son/Daughter,Female,15,Never married,Class Five,No,Unemployed,Yes
1812033014304,18120330143,1812033,1812,18,9,Son/Daughter,Female,17,Never married,Class Six,No,Unemployed,Yes
1812033014307,18120330143,1812033,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Four,No,Unemployed,Yes
1812033014707,18120330147,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033014804,18120330148,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033015003,18120330150,1812033,1812,18,9,Son/Daughter,Female,15,Never married,Class Eight,Yes,Unemployed,Yes
1812033015704,18120330157,1812033,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812033016114,18120330161,1812033,1812,18,9,Grandchild,Female,16,Never married,SSC/Equivalent,Yes,Unemployed,Yes
1812033016708,18120330167,1812033,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Four,No,Unemployed,Yes
1812572000504,18125720005,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Five,No,Unemployed,Yes
1812572001804,18125720018,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Two,No,Unemployed,Yes
1812572001805,18125720018,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Two,Yes,Unemployed,Yes
1812572002109,18125720021,1812572,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Five,No,Unemployed,Yes
1812572002408,18125720024,1812572,1812,18,9,Grandchild,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572003003,18125720030,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Eight,Yes,Unemployed,Yes
1812572003903,18125720039,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Five,Yes,Unemployed,Yes
1812572004203,18125720042,1812572,1812,18,9,Son/Daughter,Female,17,Never married,SSC/Equivalent,Yes,Unemployed,Yes
1812572004204,18125720042,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572004605,18125720046,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Six,Yes,Unemployed,Yes
1812572004803,18125720048,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812572005507,18125720055,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Five,No,Unemployed,Yes
1812572006803,18125720068,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Six,No,Home-based employment,Yes
1812572006804,18125720068,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Five,No,Unemployed,Yes
1812572007505,18125720075,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572007903,18125720079,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Five,No,Home-based employment,Yes
1812572008205,18125720082,1812572,1812,18,9,Brother/Sister,Female,15,Never married,Class Four,No,Home-based employment,Yes
1812572009004,18125720090,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Five,No,Part-time employment - outside the home,Yes
1812572009302,18125720093,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572010003,18125720100,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572010405,18125720104,1812572,1812,18,9,Son/Daughter,Female,15,Never married,SSC/Equivalent,Yes,Unemployed,Yes
1812572010902,18125720109,1812572,1812,18,9,Husband/Wife,Female,17,Currently married,Class Seven,No,Unemployed,Yes
1812572011003,18125720110,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Five,No,Unemployed,Yes
1812572011904,18125720119,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Four,No,Unemployed,Yes
1812572012904,18125720129,1812572,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,No Class Passed,No,Unemployed,Yes
1812572013603,18125720136,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Five,No,Unemployed,Yes
1812572014405,18125720144,1812572,1812,18,9,Son/Daughter,Female,17,Never married,No Class Passed,No,Unemployed,Yes
1812572015105,18125720151,1812572,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Seven,No,Unemployed,Yes
1812572015404,18125720154,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Seven,Yes,Unemployed,Yes
1812572016604,18125720166,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Seven,Yes,Unemployed,Yes
1812572017006,18125720170,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Nine,Yes,Unemployed,Yes
1812572017108,18125720171,1812572,1812,18,9,Spouse of Son/Daughter,Female,16,Currently married,Class Six,No,Unemployed,Yes
1812572017203,18125720172,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Eight,Yes,Unemployed,Yes
1812572018705,18125720187,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Eight,Yes,Unemployed,Yes
1812572019006,18125720190,1812572,1812,18,9,Son/Daughter,Female,17,Never married,HSC/First year,Yes,Unemployed,Yes
1812572019204,18125720192,1812572,1812,18,9,Son/Daughter,Female,15,Never married,SSC/Equivalent,Yes,Unemployed,Yes
1812572020204,18125720202,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Two,Yes,Unemployed,Yes
1812572020503,18125720205,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Four,No,Unemployed,Yes
1812572020603,18125720206,1812572,1812,18,9,Grandchild,Female,15,Never married,Class Four,No,Unemployed,Yes
1812572021903,18125720219,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Eight,Yes,Unemployed,Yes
1812572022302,18125720223,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Nine,Yes,Unemployed,Yes
1812572022303,18125720223,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Eight,Yes,Unemployed,Yes
1812572022404,18125720224,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Nine,Yes,Unemployed,Yes
1812572023102,18125720231,1812572,1812,18,9,Son/Daughter,Female,17,Never married,SSC/Equivalent,Yes,Unemployed,Yes
1812572023303,18125720233,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812572023803,18125720238,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Seven,Yes,Unemployed,Yes
1812572025603,18125720256,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Four,No,Unemployed,Yes
1812572026204,18125720262,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812572026303,18125720263,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Seven,No,Unemployed,Yes
1812572027004,18125720270,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Three,No,Unemployed,Yes
1812572027905,18125720279,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Seven,Yes,Unemployed,Yes
1812572028403,18125720284,1812572,1812,18,9,Son/Daughter,Female,16,Never married,Class Eight,Yes,Unemployed,Yes
1812572030404,18125720304,1812572,1812,18,9,Grandchild,Female,15,Never married,Class Four,No,Unemployed,Yes
1812572031505,18125720315,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Seven,Yes,Unemployed,Yes
1812572031903,18125720319,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Eight,Yes,Unemployed,Yes
1812572032307,18125720323,1812572,1812,18,9,Spouse of Son/Daughter,Female,17,Currently married,Class Five,No,Unemployed,Yes
1812572032608,18125720326,1812572,1812,18,9,Son/Daughter,Female,15,Never married,Class Five,Yes,Unemployed,Yes
1812572034305,18125720343,1812572,1812,18,9,Son/Daughter,Female,17,Never married,Class Two,Yes,Unemployed,Yes
